Wind Speed [mph],Wind Direction [deg],Air Temperature [K],Air Pressure [Pa],Launch Rod Angle [deg],Launch Rod Direction [deg]
10.0,149.83125200633208,297.0777087156472,101108.82150634212,6.754057974703501,180
10.0,344.14861155577063,287.51011143497027,101966.50950673615,7.188506560805844,180
10.0,89.65272231490776,289.2382592571107,101288.57415304563,7.2903712263135585,180
10.0,184.59592418717403,299.34423449994097,100478.8437256875,7.2743557010281155,180
10.0,65.8922736117354,297.32245548237194,101166.00272006501,6.7333527180312895,180
10.0,49.749683986603095,283.7149008597076,101556.15264350545,9.107402172789344,180
10.0,7.399587176598574,290.632392933796,101660.49377879768,8.337892715573595,180
10.0,204.16014282049167,287.17019823720216,101348.31282487785,7.896542888004169,180
10.0,338.34957653165316,301.0084281423784,101102.38260290078,5.6028575033527135,180
10.0,6.314917468418795,296.55160196759556,100956.66488761686,7.816940464457918,180
10.0,210.56309924655045,286.5402901300731,101193.77182307185,9.111443036252973,180
10.0,359.10651377812127,290.41870987791384,101853.35160814712,6.326408933555893,180
10.0,205.90485704746567,284.2763868170137,101343.31160490062,8.421921674678385,180
10.0,254.3805887479821,293.0124043671919,102061.80846374668,7.216638993640945,180
10.0,323.7042149706736,300.2253801884421,101289.95132772207,6.931223706952859,180
10.0,5.4309650070610616,297.9480663265121,101263.31114074383,9.538196167132224,180
10.0,346.0697780919579,285.6585028809814,101940.18699167532,6.345157007369665,180
10.0,250.49427101769743,287.7462949649531,101746.29871115473,5.6878169363911155,180
10.0,48.814219217025176,292.8746455460417,101443.21201901663,9.939622676887087,180
10.0,240.5838014695538,286.54340353671347,102391.88079725963,9.258579078875725,180
10.0,181.4826075057998,285.39147274831646,101740.8609817595,6.5652097798437765,180
10.0,15.896528697019306,284.43192582550927,100944.07430258646,8.651400371686234,180
10.0,235.35184780357486,286.06130892956577,101628.14082134698,8.974185912531562,180
10.0,297.7058772633049,292.1119306210834,101758.81006738312,8.914220041317579,180
10.0,328.1977150329151,287.67855561846534,101067.83350607248,7.346675677003868,180
10.0,230.5439495414631,298.8190414948878,101333.6075969374,7.291786899190997,180
10.0,201.01471575094672,294.30545305339615,100944.59871112352,5.782888325546438,180
10.0,6.164478353983318,299.0645700939983,101568.5674677011,6.573970517089077,180
10.0,167.35044049156642,299.72264202729446,101341.31242705324,8.68616772248799,180
10.0,192.2991688199459,299.2853776863518,101919.21270868614,8.514807442816213,180
10.0,56.98096100434928,298.0356038452911,101673.53894321164,5.063038673519737,180
10.0,140.35024423301167,297.1203653008065,100934.75563771908,5.475451783583314,180
10.0,50.61068670413438,294.85695065370413,101419.31706727656,8.504700347629973,180
10.0,101.96009595267658,289.1054377520684,100629.63537051364,7.98316527784976,180
10.0,254.47380381452547,300.29664385728597,101601.48522088923,8.152147988541735,180
10.0,303.4977306372158,286.4309234037171,101153.32755799612,9.38360584542772,180
10.0,157.66997014035505,296.51857068156505,101857.6896508177,9.000501805887145,180
10.0,8.905016823276398,295.7500570147178,100788.4839138201,8.672010219090955,180
10.0,17.553640869589362,287.12175530844536,100806.09492028278,9.79348073321181,180
10.0,208.02111700227326,301.5089556808041,101158.42911058555,5.29056735204426,180
10.0,273.8745973714275,294.21364337627165,101639.15944680852,9.636930942678902,180
10.0,88.20413673635119,289.5178617033875,101693.03705853157,7.37676734437627,180
10.0,336.29190618213363,295.4887682953957,100128.04020796205,8.487507979279055,180
10.0,275.1780673570672,293.6339618784418,101124.24535251305,5.472836386493912,180
10.0,70.40571773603473,285.3412087033401,101584.88906571757,5.18162166238483,180
10.0,30.718397927649434,288.08308315533696,101597.31995415995,9.771366740540591,180
10.0,267.93660493442195,295.5911968021128,101638.54625760094,6.133118913304164,180
10.0,286.09935635251185,297.29479513538917,101524.96162134672,6.644974359367788,180
10.0,234.17048660614594,283.69555866108607,101481.99406210051,6.9078284658891596,180
10.0,264.782798174329,290.7740180553421,101415.23986214194,7.4424942432879755,180
10.0,67.94185832437455,285.65474125249614,101286.61897411,8.73101190205631,180
10.0,94.05171173934154,283.1105050355989,102171.07191769542,5.216169309096229,180
10.0,88.04570580369311,300.52765793814217,101069.06617741192,7.31703612848841,180
10.0,4.8089849178481225,291.6200781001237,101932.89718326907,7.255130123578087,180
10.0,197.39721411461218,286.59772539714396,101036.72723008486,8.190976162942905,180
10.0,333.92351617090435,283.17031530847834,101008.2888774342,5.751907352439662,180
10.0,161.25376383493207,298.24972853413016,101389.9885421042,5.407088844550191,180
10.0,60.68832737618542,295.52322997485805,101586.18130381538,7.783531013057709,180
10.0,164.82144864178952,301.6741421209897,100362.22216189445,5.920311304608484,180
10.0,296.0557691668097,292.39354437887187,101565.27796212345,5.34774356418546,180
10.0,317.4045501430374,285.8354545654648,101697.02084465827,6.121239542322318,180
10.0,281.25974401220424,286.45130893745915,100895.96215855463,9.46163737418716,180
10.0,51.34570526505172,292.66295806956254,101409.1257491616,8.128464703237894,180
10.0,143.65552083813932,298.5706137765189,100820.40581404981,8.938357131967729,180
10.0,60.39122279870999,293.6383959201188,102289.24874871157,8.520298670262994,180
10.0,90.34360315156262,286.81439599041687,101176.61864675178,6.591772886566696,180
10.0,73.4840572633477,292.33786743894865,100510.70597806411,6.37013267891858,180
10.0,116.2010484396804,287.3839923111009,101585.47250700294,8.761268121458071,180
10.0,319.29750802506493,293.0153961557017,101358.0694914741,7.538928462558739,180
10.0,242.07344372713573,297.9826172203515,100949.91346354285,5.56120495115388,180
10.0,228.52627994458547,289.25997999607915,100667.76127159405,9.228403833168702,180
10.0,263.82268683550006,296.7610325632588,100720.31478405993,8.331049709733325,180
10.0,284.5807409079245,284.4706295582686,101487.34591276136,7.104552324197239,180
10.0,71.15413512952445,301.5913164484087,101365.90287835507,8.43364976965629,180
10.0,194.34258461813477,297.44818067413973,101150.93802790288,5.885954928723212,180
10.0,109.73637421781653,285.91058593531585,101754.0094090131,6.0491323511465716,180
10.0,354.2128887373576,290.93870696411045,101939.32040732226,6.350820102350446,180
10.0,139.61222039978526,288.58938937983083,101835.28829592401,5.010317120938413,180
10.0,50.41940621095141,295.322655097876,101732.38403997383,8.362975430789758,180
10.0,347.15732448838526,301.26051925299583,101277.54441018282,9.03160215939685,180
10.0,30.96197806754015,292.4024380784282,101100.68198288104,6.2417306178201155,180
10.0,262.1821320163306,291.49376450770177,101978.9190414743,5.343065416345863,180
10.0,52.37998833586409,283.37003739496,102153.7110837569,8.121142115263465,180
10.0,258.95248084422946,288.60311630548586,101417.6439463348,5.142417806575307,180
10.0,223.02604166268623,300.7873759757665,100785.39722095811,9.372280311218445,180
10.0,355.90359572704557,289.24780098063457,100862.4908976264,6.12817334988854,180
