Wind Speed [mph],Wind Direction [deg],Air Temperature [K],Air Pressure [Pa],Launch Rod Angle [deg],Launch Rod Direction [deg],NASA Nose Cone|Mass [kg],NASA Nose Cone|Length [m],Bulkhead|Mass [kg],D-Link (Nose Cone)|Mass [kg],Nose Cone Shock Cord|Mass [kg],Ballast|Mass [kg],Ballast|Mass [kg],NASA Forward Body Tube|Mass [kg],NASA Forward Body Tube|Outer Diameter [m],NASA Forward Body Tube|Length [m],Forward Coupler|Mass [kg],Payload Aft Bulkhead|Mass [kg],D-Link (Forward Coupler)|Mass [kg],Forward Bulkhead|Mass [kg],Payload|Mass [kg],D-Link (Forward Body)|Mass [kg],NASA Middle Body Tube|Mass [kg],NASA Middle Body Tube|Outer Diameter [m],NASA Middle Body Tube|Length [m],Middle Coupler|Mass [kg],Foward Middle Bulkhead|Mass [kg],Aft Middle Bulkhead|Mass [kg],AV Bay|Mass [kg],D-Link (Forward Coupler)|Mass [kg],D-Link (Aft Coupler)|Mass [kg],Main Parachute|Mass [kg],Main Shock Cord|Mass [kg],Parachute Bag|Mass [kg],Pilot Parachute|Mass [kg],NASA Aft Body Tube|Mass [kg],NASA Aft Body Tube|Outer Diameter [m],NASA Aft Body Tube|Length [m],NASA Tapered Swept Fins|Mass [kg],D-Link (Motor Tube)|Mass [kg],Drogue Shock Cord|Mass [kg],Motor Tube|Mass [kg],NASA Motor Casing|Mass [kg],Centering Ring 1|Mass [kg],Centering Ring 2|Mass [kg],Centering Ring 3|Mass [kg],Drogue Parachute|Mass [kg],Ballast|Mass [kg],Ballast|Mass [kg]
0.0,19.561251537027818,295.6652630074474,101826.8917100815,9.620664280942412,180,1.3444942847807697,0.6099651859394922,0.09326633420582436,0.0324494578815961,0.3141281112930112,0.0,0.0,1.0197863435840964,0.1560165260729626,0.8341070041033479,0.37065647841196714,0.09119355546726865,0.03192772383725944,0.08116556925132884,2.502719050386998,0.03366752889541205,0.9593026673682418,0.15552233470688123,0.7997757317835029,0.3862956253257853,0.44160013852567687,0.4073294005300064,1.5007607589417316,0.030958385542709917,0.028228585819569673,1.4074527621122954,0.497449272555081,1.315151319395054,0.6652841306376175,1.3151892733298423,0.15538791062609275,1.1069221054525955,0.17578396081033476,0.03233191092737946,0.2357231229801122,0.1052977047075602,0.6332534791432066,0.06492068556936814,0.06911861237747623,0.0671446448531193,0.6087149412681052,0.0,0.0
0.0,87.96425084739354,286.6076537926063,101883.17123743768,9.803889959222484,180,1.3882796988893618,0.6045820151178041,0.0854482516458049,0.03370535265527799,0.3140105532166858,0.0,0.0,1.0118948691876903,0.15548580872501985,0.8424001059181243,0.370550738537784,0.09678367727348039,0.03117329970813226,0.0910588213513279,2.070661921744256,0.03209328262296875,1.0144869738770015,0.1556539033965724,0.8042973799862675,0.37480027226064355,0.5051364190313721,0.4765981798205161,1.2869727483609026,0.0332003322325499,0.0281416776408115,1.5088935815210012,0.4335716397036854,1.383576080690349,0.6379173140758664,1.4218387544855458,0.15550034489405837,1.1083519873838827,0.17664594536561554,0.03329552311788484,0.2332023277154059,0.11085889970477,0.6512731306114604,0.06861769857310582,0.06363997221679142,0.0726114215811897,0.6609974219543189,0.0,0.0
0.0,286.36116451375125,300.42862671228306,102125.26265675282,8.498188831544583,180,1.451711625846965,0.6060401136165419,0.09269223540960492,0.029991841650317607,0.3189403408088235,0.0,0.0,0.9990338332830778,0.15531511128031006,0.8363534093175586,0.36278126091618573,0.08583861943429644,0.031045182975772752,0.09200369910386184,2.2288331018354617,0.033258628115686216,0.960425068089204,0.15527596039799774,0.7973410882107711,0.33732054160677194,0.462752653966332,0.45683467923377336,1.1755582350790907,0.031017781150670543,0.032109679332581444,1.4650887982367642,0.4344379539553882,1.3149849616146385,0.6829948354205312,1.4258007529781467,0.15537786599431794,1.104828102890257,0.17243981360711785,0.030271435894672405,0.22285936154083497,0.10435669582825596,0.5948127035670137,0.06703115036402256,0.07137356465336624,0.06454167039031364,0.6809377146439661,0.0,0.0
0.0,196.14704249172968,286.5089098095138,101987.04289655061,7.5255128929550645,180,1.337326186322049,0.6090618910122328,0.09202148506910664,0.0312451835872646,0.2974069634824299,0.0,0.0,0.958082316041816,0.15507825169169037,0.8391210748899269,0.352379051447578,0.09468039113349425,0.0334436762410767,0.08789517737254168,2.3434829876143457,0.032113136816284596,1.0393438177922854,0.15571292056642705,0.8005576247152707,0.3946908644064977,0.4503112860469922,0.44332369528306503,1.489259532656334,0.032381485706063314,0.0334496186126951,1.5214798365523023,0.4340165818571215,1.353683430198836,0.6326137210454051,1.378798637465367,0.15554713595305328,1.1069396100851518,0.18457747378580078,0.031012899281486848,0.23176805885683355,0.10521184240377503,0.6119012758608148,0.06048710288579395,0.06606564561431623,0.06851280732876106,0.6105034944861228,0.0,0.0
0.0,333.83159114067,300.5866449538184,101824.09887748997,8.66980841311805,180,1.359658259491533,0.6105724896115791,0.08328484534315973,0.03032409285827708,0.3047583476505272,0.0,0.0,1.0279486425939954,0.1555995072960831,0.8375163478033592,0.368559586344689,0.08304582037735153,0.03055202347315182,0.08938970260167323,2.1508118008480444,0.030374724540746488,0.9440795036602202,0.1552738568491991,0.7979105884091777,0.3789007682058445,0.45609091352786324,0.47601103024060565,1.3664632692555032,0.03362053782712621,0.03212763711822286,1.606243868370794,0.474797430264699,1.4671668845025865,0.6553637748325738,1.3456257529808169,0.15555438202913868,1.1016642629202436,0.1918933904156651,0.03070653582321902,0.2304663307543703,0.11079222256740309,0.6479038797008345,0.07616902442130337,0.06732223175166309,0.06596595843401246,0.6442433630416069,0.0,0.0
0.0,234.9076077216532,283.033877297928,102078.7971901349,6.48996942493312,180,1.3685755087077993,0.6087581857546122,0.09033933200422738,0.02913161103338001,0.29708416118555847,0.0,0.0,0.9989724868070989,0.15535481228303036,0.8362210377030508,0.36668704893976994,0.09125533277417555,0.03163625030774949,0.09964739257115016,2.11914793204041,0.03240763672774903,1.0543039844993405,0.15549110974483057,0.7992687986073299,0.3385153052504617,0.43311022380334474,0.4686612210280609,1.2637911764319087,0.028478260912631215,0.03601147398573108,1.5072635888366686,0.46243725561121796,1.4591569522047174,0.6115043078711578,1.3215770183395712,0.1556830477714648,1.1039077307188425,0.18186281710329108,0.03230429674859637,0.2591134232834268,0.10842904166913052,0.5735095353816572,0.06330675463036195,0.06953856945213414,0.0645025731505908,0.6273238703332621,0.0,0.0
0.0,96.5651459674837,293.359471723674,101142.00386584898,8.576076738523467,180,1.3634372599075826,0.6050759536534309,0.0901988297593606,0.033549726570342914,0.30843970448551816,0.0,0.0,1.0591584837481542,0.15568931231906444,0.8334792333331161,0.36112531985201,0.08725899842046649,0.03278607294097085,0.09599523798873053,1.797620298617048,0.030365408878452963,0.9247830783839524,0.15544809414007887,0.7964880196988912,0.3470476129905433,0.4758943034724099,0.4611920025324807,1.2741690236945211,0.03154430173109663,0.03076957588062909,1.4340354177870187,0.42412369810893685,1.3088234270168957,0.611736368869382,1.2365358884075015,0.15538361528641786,1.1071080453426019,0.18904218748465446,0.030759048702217923,0.24585022154212488,0.10958830883568689,0.6348845773747761,0.06497071493625775,0.0712312429446365,0.06709683280283808,0.6396434031460372,0.0,0.0
0.0,350.03002233769814,296.622542813243,100454.54780180883,7.686482634201688,180,1.3717561235682372,0.6135511062324867,0.09509488837824136,0.0305683518021205,0.29031858469240973,0.0,0.0,1.022322388511678,0.15553481327313312,0.835145364600799,0.3606653611723169,0.08795840391381132,0.034033086680571596,0.09224705274372437,2.061167788189607,0.029666182414174146,1.0254345905938638,0.15567920739574073,0.8012521990981418,0.3608136842523905,0.4073217288210539,0.4700154051832829,1.0856557859057596,0.029665565617105278,0.031680447392881436,1.6171244770663973,0.4445162595651156,1.3639869240037448,0.5632669391302315,1.3638308002884014,0.15555140564683345,1.1021875412792745,0.17513177921059214,0.031150270742988498,0.24186998588798775,0.10895872498531516,0.6773275079273141,0.06703010921604852,0.06741465399161774,0.06833700251907884,0.644640508625459,0.0,0.0
0.0,239.876547872887,295.14143641939154,101756.25179023665,6.575600357939787,180,1.2925196298450923,0.6066927275858595,0.0870460865209727,0.02938448638795445,0.2995774424965846,0.0,0.0,0.9923560821484384,0.15565982894445562,0.834808495836901,0.37903749469773973,0.0913844186541287,0.0321536556531432,0.08294296898353112,2.1699943999160025,0.032899112279974545,1.0930837417796078,0.15526051968817733,0.8031066779537258,0.34895018112579446,0.4529115682268522,0.4690940679908037,1.4001947995735429,0.03155775331178222,0.031333632865388525,1.4851509494194155,0.4708167783008514,1.4787730836340438,0.6238032969541327,1.4629951673156214,0.15536222188419554,1.1068731097307947,0.20499925273927225,0.031827455718969104,0.22879719489660916,0.11231081272659782,0.5745612032391614,0.06727200689940856,0.06979266193960525,0.07179712614081285,0.6034015587936844,0.0,0.0
0.0,286.4684086945037,293.93536317131185,102067.80891544363,8.120659149542783,180,1.4885186210896555,0.6108576284158466,0.09351929029502608,0.029442206850038424,0.28773263945094113,0.0,0.0,0.9843626392972461,0.1558371903419056,0.8420032429202136,0.36453559840176597,0.08619972007474791,0.032252169477302174,0.08887438882682622,2.390935027579295,0.03225506496131842,1.0238032436695974,0.15528662073715166,0.7996432725617715,0.3723177385224206,0.45371178744180757,0.4883602339360954,1.3871099518565715,0.031289155451763306,0.032495620940795694,1.5921711559218157,0.45833382700863695,1.3899216481872956,0.663766221122514,1.3249601777657731,0.1551191026298954,1.1102671248765488,0.1790192555226416,0.03109871353414405,0.21689081205116625,0.1102056310889374,0.5985323535438218,0.07110038083511902,0.06364251592372984,0.06989036430625835,0.6009672432369844,0.0,0.0
